,sust_amt,educ_amt,tran_amt,heal_amt,fina_amt,comm_amt,ente_amt,othe_amt,comm_area,park_area,indu_area,agri_area,resi_area,util_area,othe_area,trips
1,0.58,0.86,0.54,0.43,0.44,0.02,0,0.97,0.758387875,3.204537295,0.50304504,0.038776563,7.538163418,0,0,15611
2,2.14,0.41,0.43,0.65,1.04,0.01,0.07,0.68,0.765843781,0.287228171,1.208066626,0.161375274,10.5476527,0.047933593,0,6412
3,11.29,0.47,1.38,1.02,4.67,0.07,0.26,1.47,4.359190278,0.207332375,0.812236123,0.046316632,14.03462437,0,0,7180
4,0.23,0.14,0.18,0.16,0.15,0.03,0,0.42,0.111412577,0.015148446,0.3149313,1.211795516,0.670587206,0,0,3890
5,1.84,0.14,0.36,0.42,0.78,0.03,0.04,0.44,0.603753644,0,0.316022687,0.015076556,1.374099841,0,0,5979
6,5.91,1.55,1.23,1.36,2.68,0.2,0.05,2.58,1.558662513,0.167440541,2.812397366,0.03955846,4.271789484,0.000561885,0,6693
7,2.29,0.48,0.92,0.74,0.66,0.11,0.06,1.11,0.894461824,0.087247966,1.301676555,0.11470943,12.78713135,0.007163827,0,4620
8,2.58,0.33,0.6,0.59,1.13,0.06,0.05,0.8,2.023689053,0.437584482,1.746561192,0.053189214,17.48908983,0.023874848,0,6556
9,0.02,0.13,0.1,0.03,0.08,0,0,0.21,0.059897657,0,0.1349757,2.320978918,1.482784464,0.000891559,0,2458
10,3.1,0.57,0.62,0.57,1.39,0.12,0.06,1.03,2.620751523,1.064697719,2.663830616,0.185834786,16.81425933,0,0,8501
11,2.88,0.15,0.82,0.24,1.08,0.01,0.05,0.77,1.719167259,2.029078032,0.467936173,0.011000886,1.360654136,0,0,6129
12,3.97,0.46,0.86,0.8,2.11,0.03,0.08,1.27,2.202921978,0.356865897,2.502595707,0.259600836,7.068572204,0,0,9196
13,0.15,0.11,0.03,0.04,0.16,0.02,0,0.14,0.051169999,0.005075452,0.010595994,0.002444338,0.402909325,0,0,687
14,14.02,2.47,4.04,2.96,5.1,0.19,0.32,5.49,5.890002147,14.14530801,1.543048443,4.773110832,32.06026697,0.260827825,0,34916
15,1.5,0.09,0.28,0.19,0.82,0.06,0.04,0.26,0.267896816,0.02621722,0.016640856,0.006951608,1.158570452,0,0,1305
16,0.34,0.16,0.18,0.21,0.26,0.02,0,0.74,0.994791916,1.124305763,3.35452348,0.068197812,2.222037035,0,0,7634
17,0.62,0.59,0.33,0.33,0.35,0.01,0.02,0.59,0.448502783,0.366367593,1.159542796,0,1.648880169,0,0,6957
