,no_hh,avg_income,mem_no,no_mem_educwork,comm_area,park_area,indu_area,agri_area,resi_area,util_area,othe_area,trips
1,3779,18736.43821,12747,11894,0.758387875,3.204537295,0.50304504,0.038776563,7.538163418,0,0,20863
2,1349,18754.63306,4509,4238,0.765843781,0.287228171,1.208066626,0.161375274,10.5476527,0.047933593,0,7389
3,1060,28070.75472,3624,3321,4.359190278,0.207332375,0.812236123,0.046316632,14.03462437,0,0,6050
4,767,18507.1708,2598,2402,0.111412577,0.015148446,0.3149313,1.211795516,0.670587206,0,0,4305
5,862,21937.35499,2913,2720,0.603753644,0,0.316022687,0.015076556,1.374099841,0,0,4939
6,2918,37337.21727,10769,9747,1.558662513,0.167440541,2.812397366,0.03955846,4.271789484,0.000561885,0,83
7,928,19164.87069,3205,2983,0.894461824,0.087247966,1.301676555,0.11470943,12.78713135,0.007163827,0,5171
8,1192,18791.94631,3902,3650,2.023689053,0.437584482,1.746561192,0.053189214,17.48908983,0.023874848,0,6323
9,591,16387.47885,2070,1944,0.059897657,0,0.1349757,2.320978918,1.482784464,0.000891559,0,3455
10,1481,19945.98244,4968,4667,2.620751523,1.064697719,2.663830616,0.185834786,16.81425933,0,0,8298
11,1210,19652.89256,3971,3685,1.719167259,2.029078032,0.467936173,0.011000886,1.360654136,0,0,6678
12,1730,21158.95954,5947,5501,2.202921978,0.356865897,2.502595707,0.259600836,7.068572204,0,0,9706
13,136,18051.47059,437,393,0.051169999,0.005075452,0.010595994,0.002444338,0.402909325,0,0,789
14,6438,19310.34483,21642,20111,5.890002147,14.14530801,1.543048443,4.773110832,32.06026697,0.260827825,0,33346
15,294,22840.13605,1009,933,0.267896816,0.02621722,0.016640856,0.006951608,1.158570452,0,0,1689
16,1484,17944.74394,4899,4587,0.994791916,1.124305763,3.35452348,0.068197812,2.222037035,0,0,8080
17,1351,19641.00666,4640,4321,0.448502783,0.366367593,1.159542796,0,1.648880169,0,0,7560
